Year,Week_Number,N_removal,BOD_removal,P_removal,Averaged_removal_efficiency
2014,43,86.20367534,99.67479675,94.75,93.54282403
2014,46,97.47826681,99.53781513,9.375,68.79702731
2014,51,89.48502597,96.32075472,17.64705882,67.81761317
2015,2,89.42651194,99.17073171,89.13043478,92.57589281
2015,4,90.92983585,99.10638298,90.66666667,93.5676285
2015,10,95.83149116,98.33333333,92.57142857,95.57875102
2015,14,78.26669068,99.02702703,59.57446809,78.95606193
2015,19,96.24304466,99.28057554,83.7037037,93.07577463
2015,22,84.28822267,95.92307692,63.15789474,81.12306478
2015,26,98.11471698,98.93333333,73.03030303,90.02611778
2015,30,86.55172414,98.78787879,73.33333333,86.22431209
2015,34,86.19861986,97.78688525,61.76470588,81.916737
2015,39,95.95086597,98.36538462,82.85714286,92.39113115
2015,42,67.11737781,98.77358491,63.96761134,76.61952468
2015,46,69.47597778,97.61904762,60.83333333,75.97611958
2015,49,90.56050011,97.77777778,93.36363636,93.90063808
2015,52,91.80212247,98.80769231,97.6122449,96.07401989
2016,3,76.20758753,96.3811065,100.591716,91.06013667
2016,6,80.6660931,98.91361021,100,93.19323443
2016,12,81.54160327,95.15523756,90.34482759,89.01388947
2016,16,54.91334533,98.93114191,37.11610487,63.6535307
2016,17,67.73548819,99.02179947,78.68421053,81.81383273
2016,22,33.34188858,98.9450943,98.46473029,76.91723772
2016,24,63.67139061,97.26470588,100,86.97869883
2016,27,96.64011246,99.49305556,71.45833333,89.19716712
2016,30,98.31111111,99.46031746,0,65.92380952
2016,34,97.66566265,99.72321429,69.64285714,89.01057803
2016,39,43.59416446,99.64356436,26.19047619,56.47606833
2016,42,92.36380214,99.20430108,62.63157895,84.73322739
2016,47,93.42200376,98.84166667,59.28571429,83.8497949
2016,52,94.55128205,98.59756098,85.72727273,92.95870525
2017,6,97.25817065,98.58064516,100,98.6129386
