INF_Cl_mg_per_l,INF_COD_mg_O2_per_l,INF_N_mg_N_per_l,INF_Nkj_mg_N_per_l,INF_PO4o_mg_P_per_l,INF_SO4_µg_per_l,INF_TSS_mg_per_l,Return_sludge_m3_per_h,Inf_Flow_m3_per_h,DW_AT_g_per_l,O2_facultative_mg_per_l,Glycerol_kg,T_avg_C,diversity
8310,1400,65,31,2.2,92000,174,26.71494048,73.45315476,5.046904762,2.606488095,1237.542699,23.79964414,0.35267327
2295,2935,188.5,188,0.55,55000,107.5,24.43922619,73.45065476,4.356607143,0.94827381,1289.090578,20.57198684,0.66064185
11545,1920,90.5,33.5,1.165,160500,543,30.095,93.0789881,4.469345238,1.225178571,2069.096238,16.59667885,0.66643807
12150,1860,126.5,50,1.55,112500,95.5,25.80446429,84.55839286,4.937083333,1.156071429,768.8295877,17.49225138,0.56646634
14000,2310,155.5,58.5,1.85,145000,127.5,-0.06,200.21,4.08,0.09,1265.214266,17.01235,0.72528878
12800,1940,199,40,2.5,82000,62,22.86047619,80.79029762,4.529821429,1.56672619,1372.8447,16.53244104,0.97755407
10205,2105,83,16.3,1.95,4165000,133.5,45.58437126,134.0028743,6.088443114,0.635269461,1755.904706,20.52340342,0.98845795
17800,2040,140.5,39.5,1.6,130500,63,22.06565476,72.10613095,5.700654762,1.23797619,2535.611014,22.24137503,0.26415147
20100,1455,150,31,2.2,184500,38.5,18.29416667,64.71845238,5.179583333,1.312619048,1450.276007,25.93133161,0.85201884
14900,1540,130,12,2.4,98000,97,20.73988095,69.95464286,5.223928571,2.267261905,2147.26275,24.18329954,0.14699171
8240,2080,29,14,1.5,174000,98,31.51029762,65.01285714,4.283928571,1.405714286,1801.745743,27.60357311,0.31109764
17650,1220,83.5,21.5,1.5,185000,169,33.98279762,78.84946429,4.015535714,1.811607143,1420.952979,25.80199546,0.42506758
11100,2420,71,19,1.7,81000,69,21.88660714,68.28267857,4.662559524,2.12077381,2812.148229,24.3296991,0.63649885
1995,2030,38,38,0.12,104500,92,18.78375,50.73922619,4.671785714,1.66797619,1628.664171,20.09466673,0.97113065
8080,1230,91,45,0.4,106000,58,29.66553571,90.12821429,3.88047619,2.034464286,731.52765,21.85776789,0.52123036
10600,1270,110,36,1.8,186000,64,32.89857143,92.56970238,4.096845238,2.236488095,1340.350136,17.72781102,0.84666751
14100,2150,76,19.5,1.385,89500,87,27.64863095,78.42285714,5.260714286,2.181666667,1740.620121,18.6758093,0.5046467
9739.418,1229,118.4,22.05,1.263,875255,148.076923,27.99666667,88.89761905,5.707857143,1.37327381,1480.027821,14.39262542,0.84663882
8470.631,2100,123.8,66.165,1.665,111676,82.051282,26.38095238,92.29529762,4.443571429,1.553690476,2026.893729,15.31407954,0.19726846
13515.893,1556,110.6,35.73,1.923,1014165,287.719298,40.83904762,90.74928571,4.534583333,1.669583333,1643.889021,16.88808848,0.67411821
2851.22,1930.5,68,68.4825,1.9185,130558.5,48.55665345,31.60267857,89.42791667,5.054345238,1.494404762,1814.612271,19.93583586,0.26529721
987.431,1917,52,51.9,1.325,334221,117.908787,27.1135119,82.19636905,6.10797619,1.623690476,1665.003021,22.06137518,0.90824182
2078,1830,57,57.345,1.167,115742,104.166666,39.16589286,101.7711905,5.167916667,1.306547619,1469.062736,22.58294412,0.28022383
1864.577,2568,62.35,59.25,0.681,0,522.580645,21.7114881,77.60184524,5.713869048,1.185892857,1599.981364,25.76053887,0.76549689
18000,1200,110,15,1.8,78000,72,26.92714286,81.15279762,5.02797619,2.328988095,2192.153493,24.1833,0.86884959
20000,1600,110,17,2.4,75000,275,32.12196429,72.30279762,4.125119048,1.8075,1532.265257,27.60357,0.04891808
19000,1800,130,7.2,3.2,780000,167,29.20994048,70.67982143,4.831904762,1.860714286,2097.689371,25.802,0.55868697
4300,2800,38,30,1.1,66000,69,31.79464286,77.23065476,5.635535714,1.891666667,2161.738457,24.3297,0.44318008
9200,2100,88,20,1.7,13000000,247,35.85142857,77.95994048,5.418809524,1.236190476,1573.740171,20.09467,0.96052613
21000,1300,140,28,2.6,82000,181,37.66154762,66.97630952,5.413928571,1.707619048,1554.336057,20.57199,0.62291235
22000,3500,140,18,3.9,50000,87,55.68357143,74.2485119,4.909880952,1.877916667,2886.064232,18.67581,0.90706882
22000,1850,180,32,2.6,92000,225,40.77886905,69.55779762,4.777797619,0.810654762,1416.639,15.31408,0.56720408
